Politics,American politician and diplomat Madeleine Albright was born in what central European country?,Germany,Poland,Serbia,Czechoslovakia,D
Politics,"At the time of his assassination, what play was Abraham Lincoln watching?",Carmen,Our American Cousin,Uncle Vanya,Mary Stuart,B
Politics,Where was Richard Nixon when he delivered his infamous “I am not a crook” speech?,"Portland, Oregon",Washington D.C.,"Orlando, Florida","New York, New York",C
Politics,"In 1952, Albert Einstein was offered the presidency of which country?",Israel,Germany,England,America,A
Politics,Who was first U.S. president to be impeached?,Andrew Johnson,Donald Trump,Richard Nixon,Bill Clinton,A
Politics,Who became both a vice president and president of the United States without ever being elected to either office?,James Madison,Gerald Ford,Zachary Taylor,Dwight D. Eisenhower,B
Politics,Who was the first female Prime Minister of a European country?,Angela Merkel ,Margaret Thatcher ,Indira Gandhi,Milka Planinc,B
Politics,Which U.S. president issued the Emancipation Proclamation?,James Buchanan,Andrew Johnson,Abraham Lincoln,Theodore Roosevelt,C
Politics,The Bill of Rights contains how many of the first amendments to the United States Constitution?,Eight,Nine,Ten,Eleven,C
Politics,Who was the first U.S. president that was born a citizen of the United States?,George Washington,John Adams,Thomas Jefferson,Martin Van Buren,D
Politics,"What political activist organized the famous ""March of the Mill Children"" from Philadelphia to President Theodore Roosevelt's summer home in 1903?",Elizabeth Gurley Flynn,Emma Goldman,Helen Keller,Mary Harris Jones,D
Politics,What new economic program did China's Mao Zedong announce in 1958?,The Great Leap Forward,Trickle-Down Economics,The Worker's Awakening,The Enlightened Transformation,A
Politics,"Who ran for President of the United States with the campaign slogan ""A chicken in every pot and a car in every garage""?",Herbert Hoover,William McKinley,Woodrow Wilson,Calvin Coolidge,A
Politics,What U.S. President refused to use the telephone while in office?,Richard Nixon,Calvin Coolidge,Herbert Hoover,Warren G. Harding,B
Politics,Who drafted the U.S. Declaration of Independence?,Abraham Lincoln,Thomas Jefferson,Geroge Washington,King Geroge III,B
Politics,Who wrote the American national anthem?,Francis Drake,F. Scott Fitzgerald,Francis Scott Key,Francis Bellamy,C
Politics,What is the nickname for the old regulations requiring racial segregation?,Old Crow laws,Stone the Crows laws,Jim Crow laws,Blue laws,C
Politics,Which document does the Fourth of July commemorate?,Gettysburg Address,Articles of Confederation,Constitution,Declaration of Independence,D
Politics,What kind of government does the United States have?,Democracy,Monarchy,Gerontocracy,Republic,D
Politics,How many members are in the U.S. Senate?,100,50,150,200,A
Politics,"In the case of a tied vote in the U.S. Senate, the deciding vote is cast by…",the vice president,the president,the Senate majority leader,the Senate parliamentarian,A
Politics,How many U.S. presidents have been assassinated?,One,Four,Two,Three,B
Politics,How many Supreme Court justices are there?,Eight,Nine,Eleven,Twelve,B
Politics,What is the only Constitutional amendment to repeal another amendment?,11th Amendment,19th Amendment,21st Amendment,25th Amendment,C
Politics,When did Sirimavo Bandaranaike become as world’s first female Prime Minister?,1920,1950,1960,1970,C
Sports,Which NBA player is represented in the NBA logo,Jerry West,kobe bryant,Shaq,Karl Malone,A
Sports,What year was Tom Brady drafted?,1999,2005,1980,2000,D
Sports,When did Michael Jordan win his first NBA championship ,1995,1991,1996,1989,B
Sports,Which US city won the MLS cup in 2015 ,Dallas,Seattle ,New York,Portland,D
Sports,What age did Tiger woods turn pro?,16,25,20,21,B
Sports,When was the last time Seattle Seahawks wond Superbowl?,2014,1999,2017,2005,A
Sports,Which US state has the most MLB teams?,New York,Texas,California ,Florida ,C
Sports,When was the first year of the Women's tennis US Open?,1887,1929,1985,1954,A
Sports,Which country held the summer Olympics in 2016,Russia,China,Brazil,United States,C
Sports,How many fouls can you give before you are fouled out in the NBA?,5,6,4,7,B
Sports,What is the minimum amount of players on a professional Hockey team?,15,12,25,20,D
Sports,How many football teams are in the National Footbal League?,30,24,32,40,C
Sports,How many teams are in the Women's National Basketball Association?,24,12,20,28,B
Sports,How many points is a touchdown in the NFL?,6,7,8,3,A
Sports,Which olympic athlete owns the 100 meter world record?,Justin Gattlin,Ben Johnson,Usain Bolt,Carl Lewis,C
Sports,Which Olmpian holds the most medals in indivudal events?,Michael Jordan,Michael Phelps,Usain Bolt,Larisa Latynina,B
Sports,Which Country will host the 2020 Olympics (rescuedled to 2021)?,China,Russia ,Germany ,Japan,D
Sports,"Which sport is refered to commonly as ""America's Pastime""? ",Baseball,football,Soccer ,Basketball,A
Sports,Which professional boxer has never lost a professional fight?,Muhammad Ali,Floyd Mayweather Jr,Mike Tyson,Roy Jones Jr,B
Sports,How many total rounds are in UFC main event?,5,4,3,10,A
Sports,How many rounds are in a professional game of golf?,17,12,18,9,C
Sports,Who was the first African American baseball player to play in the MLB,Hank Aaron,Willie Mays,Ken Griffey ,Jackie Robinson,D
Sports,How many career home runs does Ken Griffey Jr have?,700,600,630,720,C
Sports,Which NBA player on this list score 81 points in one game?,David Robinson ,Michael Jordan,Kobe Bryant,Lebron James,C
Sports,Which professional sport was founded first ,NHL,NFL,NBA,MLS,A
TV,How many seasons of friends are there?,5,6,9,10,D
TV,Who is the host of America's Next top Model?,Paris Hilton,Tyra Banks,RuPaul,Heidi Klum,B
TV,"The show ""Insecure"" is based on works in what other entertainment medium?",Drawing,Music,Webseries,Tweets,C
TV,"What is the name of the college on ""Dear White People""?",Winchester College,Arial College,Barden University,Harvard,A
TV,What cop show does Andy Samberg star in?,Chicago PD,Law and Order,Brooklyn Nine-Nine,Criminal Minds,C
TV,"The TV show ""Game of Thrones"" is based on a novel by which author?",George R. R. Miller,Arthur Miller,Ian Fleming,Thomas Harding,A
TV,"What is the name of the basketball team on the show ""One Tree Hill""?",The Eagles,The Ravens,The Raiders,The Phantoms,B
TV,Ted Mosby and Marshall Eriksen are both characters on which show?,How I Met Your Mother,One Tree Hill,Community,Lie To Me,A
TV,"On the show ""Victorious"", what is Tori's talent?",Violin ,Guitar,Dancing ,Singing,D
TV,What show starts Courtney Cox?,Once Upon a Time,Glee,Cougar Town,Castle,C
TV,In which city do Ross and Rachel Get married in?,Los Angeles,Paris,Las Vegas,New York City,C
TV,"In the second season of HBO series ""Game of Thrones"", to whom did Brienne swear an oath of fealty?",Sansa Stark,Catelyn Stark,Ned Stark,Jamie Lanister,B
TV,"What is Rick's last name in ""Rick and Morty""?",Sanchez,Smith,Lopez,Johnson,A
TV,What beloved anti-hero becomes a meth cook in order to support his family?,Tony Soprano,Walter White,Vic Mackey,Jimmy Mcnulty,B
TV,Who killed Keith Scott?,Nathan,Brooke,Dan,Peyton,C
TV,"In Monica from Friends Apartment, what is the color of Ottoman?",Green,Purple,Red,Blue,A
TV,Who has won the most Halloween Heists in Brooklyn Nine-Nine?,Holt,Jake,Amy,Gina,A
TV,Which Season of Friends is the only one without a Thanksgiving Episode?,3,4,5,2,D
TV,What is the real name of the Pontiac Bandit?,Derek Judd,Judy Jones,Doug Judy,Doug Jones,C
TV,Which one of these is not a Tanner sister?,Michelle,Kimmy,DJ,Stephanie,B
TV,What year did Game of Thrones premiere? ,2011,2012,2010,2009,A
TV,Who did Uncle Jessie marry?,Stacy,Kimmy,Sara,Becky,D
TV,What is Catelyn Stark's maiden name?,Tyrell,Martell,Tully,Greyjoy,C
TV,Whats the name of the Tanners' dog?,Rex,Ryder,Comet,Carl,C
TV,Who has seven brothers in Brooklyn Nine-Nine?,Rosa,Amy,Charles,Gina,B
